Sport,time,money,Who with,contactsport,how,fitnesslevel,height,flexibility,focus,lower_body,balance,endurance,speed,hand_eye_coordination,upper_body,foot_eye_coordination,being_in_water,perfectionist,patient,high_energy,competitive,thrive_under_pressure,tried_and_tested,ever_changing,centre_of_attention,express_myself,adrenaline_fuelled
American Football,3,3,2,5,5,3,5,3,4,3,2,4,5,4,4,2,1,3,3,4,3,4,2,3,3,2,3
Archery,3,3,7,2,1,1,3,2,5,1,2,3,1,5,4,1,1,4,4,2,3,2,2,2,2,2,2
Badminton,3,3,6,2,3,2,4,4,3,2,2,2,4,4,4,3,1,3,3,3,3,3,3,3,3,2,2
Basketball,3,3,2,4,4,3,5,3,4,3,2,3,4,5,4,3,1,4,3,4,3,3,2,3,3,3,3
Beach Volleyball,4,2,6,3,4,2,5,4,4,3,2,3,4,5,4,2,1,4,3,3,3,3,3,3,3,2,3
Biathlon,4,4,3,2,2,3,3,1,5,3,2,4,4,5,3,2,1,4,4,3,4,4,2,4,2,2,2
Bowling,3,2,6,2,1,1,3,2,3,1,3,1,1,5,3,2,1,4,2,2,4,2,4,2,3,2,2
Boxing,3,3,3,4,1,3,4,2,4,3,4,4,3,5,4,3,1,3,2,3,4,3,2,3,3,3,2
Canoeing,5,3,7,3,3,2,2,4,4,2,5,5,3,4,5,1,5,2,2,2,2,2,4,4,2,2,2
Rock Climbing,4,3,7,3,1,3,4,5,5,4,5,4,1,3,5,4,1,2,4,2,2,4,2,4,2,2,4
Cricket,3,3,2,2,5,1,4,2,5,2,2,2,2,5,4,2,1,3,4,2,3,3,3,3,3,2,2
Croquet,2,2,6,2,4,1,3,2,5,1,2,1,1,5,2,1,1,3,2,2,2,2,4,2,2,2,2
Crossfit,3,4,3,3,3,3,3,3,2,3,2,4,3,2,4,2,1,2,2,4,3,2,3,3,3,3,3
Curling,4,3,6,2,5,2,3,2,3,2,2,2,3,5,3,1,1,4,3,2,3,2,2,2,3,2,2
Cycling,2,2,7,3,1,2,3,1,4,4,4,4,3,3,2,3,1,1,2,2,2,2,4,4,2,2,3
BMX,2,3,3,4,1,2,3,2,4,4,4,3,4,3,3,3,1,4,3,3,2,4,2,4,4,4,4
Latin Dancing,3,3,2,3,3,2,3,3,5,2,4,3,3,1,2,4,1,4,3,3,2,2,3,3,3,4,2
Hip hop,3,3,3,3,4,3,3,3,5,2,3,3,3,1,2,4,1,3,3,3,2,2,4,4,3,4,2
Darts,2,1,7,1,1,1,3,1,5,1,2,1,1,5,2,1,1,4,2,2,2,2,4,2,2,2,2
Springboard diving,4,3,3,2,3,4,1,4,5,4,5,3,3,3,3,3,5,3,4,2,3,2,2,2,4,4,4
Dodgeball,3,2,6,4,5,2,2,4,4,2,4,3,4,5,3,3,1,3,2,3,3,3,3,3,3,3,3
Fencing,3,3,3,2,1,2,3,4,5,3,3,2,3,5,3,3,1,4,3,2,4,3,2,3,3,3,3
Ice Skating,3,3,7,4,3,2,1,4,4,3,5,3,3,2,2,4,1,4,2,3,2,2,3,2,3,4,4
Football / Soccer,2,2,6,4,4,2,3,3,3,3,3,3,4,1,1,5,1,3,3,3,3,3,4,3,3,3,3
Frisbee,2,2,6,1,3,2,3,2,3,1,2,2,3,4,2,1,1,3,2,2,2,2,4,2,2,3,2
Utlimate Frisbee,3,3,2,2,5,2,3,3,4,2,3,3,4,4,3,2,1,3,3,3,3,3,2,3,3,3,3
Golf,4,4,7,2,1,1,3,2,5,1,2,1,1,5,2,1,1,4,4,2,4,2,3,2,4,3,2
Kettlebell Workout,2,3,3,3,1,2,3,2,2,2,2,3,1,3,3,1,1,3,2,2,2,2,3,2,2,2,2
Strength Training,2,3,3,3,1,1,4,1,2,2,2,3,1,2,3,1,1,2,2,2,2,2,4,2,4,2,2
Gymnastics ,3,3,3,2,3,2,2,4,4,3,4,3,4,3,4,4,1,4,4,3,2,3,2,2,4,4,4
Trampolining,4,4,7,1,3,2,3,4,4,4,4,3,4,1,2,3,1,3,2,4,2,3,3,3,3,4,4
Handball,3,3,2,4,5,3,3,3,3,3,3,3,4,5,4,1,1,3,3,3,3,3,2,3,3,3,3
High Intensity Interval Training,2,3,3,1,1,3,3,1,3,3,2,5,4,2,3,2,1,3,2,4,2,3,3,3,2,2,2
Online HIIT Workouts,1,1,7,1,1,2,3,1,3,2,2,4,3,2,2,2,1,2,2,3,2,3,4,2,2,2,2
Field Hockey,3,3,2,3,5,3,3,3,3,3,3,3,4,4,4,2,1,4,3,3,3,4,3,3,3,3,3
Ice Hockey,3,4,2,5,4,3,4,3,4,4,4,3,4,4,3,3,1,4,4,4,3,4,2,3,3,3,4
Horse Riding,4,4,7,4,1,3,3,2,5,5,5,2,3,2,3,2,1,2,2,2,2,2,3,3,2,2,2
Running,1,2,7,1,1,1,3,1,1,2,1,4,2,1,1,1,1,1,1,2,2,2,4,3,2,2,2
Judo,3,3,2,5,1,3,4,3,5,3,5,3,3,3,4,3,1,4,3,3,4,3,2,3,3,3,3
Karate,3,3,2,4,1,3,4,3,3,3,3,2,3,4,4,4,1,4,3,3,4,4,2,3,3,3,3
Kayaking,5,4,6,3,3,3,3,3,4,2,5,4,3,4,4,2,5,2,2,2,2,2,4,4,2,2,3
Kickboxing,3,3,2,5,1,4,4,4,4,4,4,4,4,4,4,5,1,4,3,4,4,4,2,3,3,4,4
Lacrosse,3,3,2,3,5,4,3,3,4,4,3,3,4,5,4,3,1,3,3,4,3,4,2,3,3,3,3
Longboarding,1,2,3,2,1,2,2,1,3,3,4,2,2,1,1,4,1,2,4,2,2,2,2,4,3,4,3
Medieval Combat,5,4,2,4,3,4,4,3,4,3,2,3,3,4,4,2,1,3,4,4,3,4,2,3,3,3,4
Motorcross,4,5,3,3,1,3,3,2,4,3,4,3,3,3,4,2,1,4,4,4,4,4,2,3,4,4,4
Mountain Biking,5,5,7,3,1,2,3,2,5,4,5,3,4,3,3,2,1,2,3,3,2,4,2,4,2,4,4
Obstacle Course Racing,4,2,3,3,3,3,4,3,2,3,4,4,3,2,3,2,1,2,1,3,3,3,3,4,2,3,4
Netball,3,3,2,2,5,2,4,4,3,2,3,2,3,5,3,2,1,4,2,2,3,3,3,3,3,3,3
Orienteering,4,3,7,2,3,1,3,1,3,2,1,3,3,1,1,1,1,3,2,3,3,3,3,4,2,4,3
Stand Up Paddle,4,3,7,2,1,3,2,2,3,4,5,3,2,4,3,2,5,2,3,2,2,2,2,4,2,2,3
Parkour,1,1,3,3,1,3,4,4,4,3,5,2,3,3,4,4,1,4,4,2,2,4,3,4,4,4,3
Pilates,3,3,3,1,1,1,3,4,3,2,3,2,2,2,2,2,1,2,2,2,2,2,3,2,2,2,2
Pole fitness,3,3,3,3,1,2,3,4,3,3,4,3,3,3,3,4,1,3,4,3,2,2,2,2,4,4,3
Roller Derby,4,4,2,5,5,3,3,3,5,5,5,4,5,3,3,4,1,2,4,4,4,4,2,3,4,4,4
Rollerskiing,3,4,7,2,3,2,2,3,3,4,4,3,3,2,3,3,1,3,3,2,3,3,2,4,2,2,3
Rowing,4,4,3,2,3,4,3,2,3,2,4,5,5,3,5,2,5,4,2,3,3,3,3,3,2,2,2
Rugby,3,3,2,5,5,4,4,3,4,4,3,4,5,4,4,2,1,3,3,4,3,4,3,3,3,3,4
Distance Running,2,2,3,2,3,3,3,2,5,4,2,4,4,1,1,1,1,4,2,3,4,4,3,3,3,2,3
Sailing,5,5,7,3,3,3,3,4,5,3,5,3,3,3,5,1,5,4,4,2,2,4,2,4,2,2,4
Scuba Diving,5,5,7,2,3,2,3,2,4,3,1,3,2,2,3,2,5,3,4,2,2,4,2,4,2,2,4
Shooting,3,3,3,2,1,1,3,2,5,2,2,2,1,5,3,1,1,4,2,2,3,3,2,2,2,2,3
Skateboarding,1,2,3,2,2,2,2,2,3,4,5,2,4,2,1,5,1,2,4,2,2,2,2,4,4,4,3
Skiing,5,5,6,4,3,3,2,3,4,4,4,3,3,1,2,4,1,3,4,3,3,3,3,4,3,4,3
Billiards,2,2,6,1,1,1,3,1,5,1,2,1,2,5,2,1,1,4,2,2,3,2,3,2,2,3,2
Slacklining,2,2,7,1,1,1,2,3,4,3,5,1,1,2,2,4,1,4,3,3,3,4,2,4,4,4,3
Snowboarding,5,5,6,4,2,3,2,3,4,5,5,3,4,2,2,3,1,2,4,3,3,3,2,4,3,4,4
Softball,2,2,6,2,4,1,3,3,5,2,1,2,3,5,3,1,1,3,2,2,3,3,3,3,3,3,3
Squash,3,3,6,2,3,3,3,3,4,3,3,3,3,5,3,2,1,4,3,3,4,3,3,3,3,3,3
Surfing,5,4,6,3,1,3,2,3,4,4,4,5,4,2,4,4,5,4,4,3,2,4,2,4,3,4,4
Swimming,2,2,7,2,1,3,3,3,3,3,2,4,2,2,3,1,5,2,2,3,3,2,4,2,2,2,2
Ping Pong,2,2,6,2,3,1,3,2,4,2,2,2,3,5,3,1,1,2,2,3,4,2,3,3,2,2,2
Taekwondo,3,3,2,4,1,2,4,4,4,4,5,3,4,4,3,5,1,4,3,3,4,4,2,3,2,3,2
Tai Chi,3,3,2,2,1,1,3,2,2,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2
Tennis,3,3,6,2,3,3,3,3,4,3,2,3,4,4,4,2,1,4,4,3,4,3,2,3,4,3,2
Hiking,5,4,6,2,3,2,3,2,2,3,2,4,2,1,2,1,1,1,2,3,2,2,4,4,2,4,3
Volleyball,3,3,2,4,5,2,5,4,5,3,3,3,4,5,4,1,1,3,3,3,3,3,3,3,3,3,2
Wakeboarding,4,4,7,3,1,3,4,3,5,4,5,3,2,3,4,4,5,4,4,4,2,4,2,3,4,4,4
Water Polo,3,3,2,3,5,3,4,3,4,3,2,3,3,5,5,1,5,4,4,3,3,3,2,3,3,2,3
Weightlifting,3,3,3,3,1,4,4,2,3,3,1,2,2,1,4,1,1,1,3,2,2,2,2,2,4,2,2
Windsurfing,5,5,6,3,1,3,3,3,4,3,4,3,3,3,4,1,5,3,4,4,2,4,2,4,3,2,4
Wrestling,3,3,2,5,1,3,4,2,4,4,5,2,3,1,4,2,1,3,3,3,4,4,2,3,3,3,3
Yachting,5,5,6,4,3,3,3,3,4,3,4,3,3,1,4,1,5,3,4,3,3,4,2,4,2,2,2
Vinyasa Yoga,2,2,7,2,1,2,3,3,3,2,4,2,2,2,2,2,1,3,2,2,2,2,4,2,2,3,2
Ashtanga Yoga,4,3,7,2,1,3,3,3,3,3,4,3,1,2,3,2,1,4,3,3,2,3,3,2,2,3,2
Acro Yoga,2,3,6,4,4,4,3,4,4,3,5,3,1,3,3,3,1,4,4,3,2,4,2,3,4,4,4
Hot Yoga,3,3,2,2,1,4,3,3,3,2,4,4,1,2,2,2,1,2,2,2,2,2,2,2,2,3,2
Zumba,3,3,6,1,1,2,3,2,4,2,2,3,3,3,2,4,1,3,3,3,2,2,3,3,3,4,2
